@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2024/04/16 10:32:38:038',3,0.175521,0.653704,1
2,'2024/04/16 10:32:38:044',3,0.177083,0.653704,1
3,'2024/04/16 10:32:38:058',3,0.177083,0.624074,1
4,'2024/04/16 10:32:38:058',3,0.180729,0.624074,1
5,'2024/04/16 10:32:38:078',3,0.180729,0.478704,1
6,'2024/04/16 10:32:38:078',3,0.192188,0.478704,1
7,'2024/04/16 10:32:38:098',3,0.192188,0.349074,1
8,'2024/04/16 10:32:38:098',3,0.194792,0.349074,1
9,'2024/04/16 10:32:38:118',3,0.194792,0.260185,1
10,'2024/04/16 10:32:38:118',3,0.194271,0.260185,1
11,'2024/04/16 10:32:38:138',3,0.194271,0.159259,1
12,'2024/04/16 10:32:38:138',3,0.183854,0.159259,1
13,'2024/04/16 10:32:38:158',3,0.183854,0.114815,1
14,'2024/04/16 10:32:38:158',3,0.175521,0.114815,1
15,'2024/04/16 10:32:38:178',3,0.175521,0.085185,1
16,'2024/04/16 10:32:38:178',3,0.167187,0.085185,1
17,'2024/04/16 10:32:38:198',3,0.167187,0.069444,1
18,'2024/04/16 10:32:38:198',3,0.157813,0.069444,1
19,'2024/04/16 10:32:38:218',3,0.157813,0.059259,1
20,'2024/04/16 10:32:38:218',3,0.149479,0.059259,1
21,'2024/04/16 10:32:38:238',3,0.149479,0.049074,1
22,'2024/04/16 10:32:38:238',3,0.139062,0.049074,1
23,'2024/04/16 10:32:38:258',3,0.139062,0.046296,1
24,'2024/04/16 10:32:38:258',3,0.132813,0.046296,1
25,'2024/04/16 10:32:38:278',3,0.132813,0.046296,1
26,'2024/04/16 10:32:38:278',3,0.126042,0.046296,1
27,'2024/04/16 10:32:38:298',3,0.126042,0.056481,1
28,'2024/04/16 10:32:38:298',3,0.120312,0.056481,1
29,'2024/04/16 10:32:38:318',3,0.120312,0.073148,1
30,'2024/04/16 10:32:38:318',3,0.114063,0.073148,1
31,'2024/04/16 10:32:38:338',3,0.114063,0.093519,1
32,'2024/04/16 10:32:38:338',3,0.109896,0.093519,1
33,'2024/04/16 10:32:38:358',3,0.109896,0.125,1
34,'2024/04/16 10:32:38:358',3,0.111979,0.125,1
35,'2024/04/16 10:32:38:378',3,0.111979,0.167593,1
36,'2024/04/16 10:32:38:378',3,0.13125,0.167593,1
37,'2024/04/16 10:32:38:398',3,0.13125,0.180556,1
38,'2024/04/16 10:32:38:398',3,0.142708,0.180556,1
39,'2024/04/16 10:32:38:418',3,0.142708,0.194444,1
40,'2024/04/16 10:32:38:418',3,0.165625,0.194444,1
